ProductGroup,year,Quantityintonnes,Valueinthousandeuro,Value_per_tonne
Butter,2010,36966.244999999995,126687.704,3.4271185509915876
Butter,2011,37330.495,148994.913,3.991238610685446
Butter,2012,44991.723,154404.788,3.431848742489813
Butter,2013,45089.29,172388.245,3.8232636841254317
Butter,2014,43951.723,163724.728,3.7251037462171848
Butter,2015,58960.285,200172.931,3.3950468692612326
Butter,2016,83469.259,253489.467,3.036920059395759
Butter,2017,78090.636,371274.503,4.75440490713893
Butter,2018,74709.968,418551.68,5.602353892053602
Butter,2019,92940.617,462956.115,4.981203374193223
Butter,2020,94934.967,420676.68,4.431208998050212
Butter,2021,77771.60100000001,393617.597,5.061199614496813
Butter,2022,81771.496,594592.362,7.271389066918868
Butter,2023,92749.883,578051.78,6.2323720667119336
Butteroil,2010,4601.436,15429.135,3.3531130281938077
Butteroil,2011,26222.049000000003,67217.858,2.563409823542012
Butteroil,2012,30063.297,72308.041,2.405193315955998
Butteroil,2013,27997.682,72084.977,2.574676610727988
Butteroil,2014,30188.694,78707.659,2.6071899301109216
Butteroil,2015,24483.354,84323.332,3.4441086789007747
Butteroil,2016,12042.568,46995.925,3.902483672917604
Butteroil,2017,4589.665,20465.949,4.45913786736069
Butteroil,2018,6575.93,22759.18,3.4609827051078708
Butteroil,2019,13456.219,49159.753,3.6533110080922433
Butteroil,2020,7700.1669999999995,22849.552,2.967409927602869
Butteroil,2021,5078.886,19138.375,3.768222992207346
Butteroil,2022,6087.696,32206.623,5.290445350753388
Butteroil,2023,3573.246,17691.375,4.9510655017874505
Casein,2010,19556.163,116714.11,5.968149784801855
Casein,2011,21038.531,152153.147,7.232118392676751
Casein,2012,20409.9,137603.56,6.742000695740792
Casein,2013,17342.122,127195.985,7.334511024660074
Casein,2014,23171.468999999997,175498.982,7.573925589266698
Casein,2015,23940.492,162675.968,6.795013569478856
Casein,2016,27838.985,155603.4,5.589406366647347
Casein,2017,24703.747,146547.846,5.9322112552399435
Casein,2018,29615.919,150002.292,5.064921064917823
Casein,2019,34268.429000000004,190159.4,5.549113441996421
Casein,2020,35133.641,243357.94400000002,6.9266360409386545
Casein,2021,41583.128,309520.21,7.4434085381936645
Casein,2022,37323.384,421187.316,11.284810509143544
Casein,2023,34752.21,335599.1,9.65691390561924
Caseinates,2010,1264.033,7804.6939999999995,6.174438483805407
Caseinates,2011,1367.836,9962.1,7.2831099634751535
Caseinates,2012,1367.725,9563.994999999999,6.992630097424555
Caseinates,2013,1696.653,13481.965,7.94621233687737
Caseinates,2014,1279.0249999999999,10438.057,8.160948378647799
Caseinates,2015,2295.325,13995.599,6.097436746430245
Caseinates,2016,1700.689,9089.736,5.3447373388079775
Caseinates,2017,1152.665,7612.517,6.604275309825492
Caseinates,2018,1123.1480000000001,6733.227000000001,5.994959702550331
Caseinates,2019,686.941,4247.579,6.183324332075098
Caseinates,2020,1169.122,8746.091,7.4809053289562595
Caseinates,2021,2751.114,23419.481,8.512726480981886
Caseinates,2022,2927.598,36272.564,12.389871833496265
Caseinates,2023,4136.273,43881.829,10.609026290092553
Cheese,2010,134691.59100000001,417647.874,3.1007717029639954
Cheese,2011,135356.448,462662.129,3.4181018772005602
Cheese,2012,146878.089,523705.136,3.565577000392482
Cheese,2013,148625.544,553652.527,3.72515055016384
Cheese,2014,145653.786,580740.0059999999,3.987126060698484
Cheese,2015,155137.009,540940.345,3.4868555768017933
